sample_index,sim_time_s,mobile_x,mobile_y,mobile_state,mobile_rloc16,parent_extaddr,parent_rloc16,parent_node_guess,parent_link_quality_in,parent_link_quality_out,parent_age,parent_version,mobile_to_parent_target,mobile_to_parent_target_rloc16,mobile_to_parent_target_extaddr,mobile_to_parent_tx,mobile_to_parent_rx,mobile_to_parent_loss_pct,mobile_to_parent_rtt_min_ms,mobile_to_parent_rtt_avg_ms,mobile_to_parent_rtt_max_ms,mobile_to_parent_sim_rss_method,mobile_to_parent_sim_rss_match_status,mobile_to_parent_sim_rss_match_confidence,mobile_to_parent_request_rx_sim_rss_dbm,mobile_to_parent_request_rx_sim_lqi,mobile_to_parent_reply_rx_sim_rss_dbm,mobile_to_parent_reply_rx_sim_lqi,mobile_to_parent_sim_rss_event_time_s,parent_switch,connectivity_ok,selected_radio_model,device_profile,thread_device_type,parent_search_config,packet_probe_reliable,primary_parent_observation,router_a_scan_dbm,router_a_scan_lqi,router_b_scan_dbm,router_b_scan_lqi,ip_counters_json,mle_counters_json,router_a_to_mobile_tx,router_a_to_mobile_rx,router_a_to_mobile_loss_pct,router_a_to_mobile_rtt_min_ms,router_a_to_mobile_rtt_avg_ms,router_a_to_mobile_rtt_max_ms,router_a_to_mobile_sim_rss_method,router_a_to_mobile_sim_rss_match_status,router_a_to_mobile_sim_rss_match_confidence,router_a_to_mobile_request_rx_sim_rss_dbm,router_a_to_mobile_request_rx_sim_lqi,router_a_to_mobile_reply_rx_sim_rss_dbm,router_a_to_mobile_reply_rx_sim_lqi,router_a_to_mobile_sim_rss_event_time_s,router_b_to_mobile_tx,router_b_to_mobile_rx,router_b_to_mobile_loss_pct,router_b_to_mobile_rtt_min_ms,router_b_to_mobile_rtt_avg_ms,router_b_to_mobile_rtt_max_ms,router_b_to_mobile_sim_rss_method,router_b_to_mobile_sim_rss_match_status,router_b_to_mobile_sim_rss_match_confidence,router_b_to_mobile_request_rx_sim_rss_dbm,router_b_to_mobile_request_rx_sim_lqi,router_b_to_mobile_reply_rx_sim_rss_dbm,router_b_to_mobile_reply_rx_sim_lqi,router_b_to_mobile_sim_rss_event_time_s
10,491.0,650.0,360.0,child,ac01,a2c370b23480d824,ac00,router_a,2,3,5,5,router_a,ac00,a2c370b23480d824,1,1,0.0,25.0,25.0,25.0,otns_model_derived_at_ping,model_derived,1.0,-68.311,3,-68.311,3,491.0,False,True,MutualInterference,minimal_end_device,med,enabled,True,packet_probe,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""92"", ""TxFailed"": ""0"", ""TxSuccess"": ""62""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""1"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""481895"", ""Time Detached Milli"": ""9105"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""491000""}",1,1,0.0,29.0,29.0,29.0,otns_model_derived_at_ping,model_derived,1.0,-68.311,3,-68.311,3,491.0,1,1,0.0,35.0,35.0,35.0,otns_model_derived_at_ping,model_derived,1.0,-36.57,3,-36.57,3,491.0
11,492.0,700.0,360.0,child,ac01,a2c370b23480d824,ac00,router_a,1,3,6,5,router_a,ac00,a2c370b23480d824,1,1,0.0,10.0,10.0,10.0,otns_model_derived_at_ping,model_derived,1.0,-70.232,2,-70.232,2,492.0,False,True,MutualInterference,minimal_end_device,med,enabled,True,packet_probe,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""95"", ""TxFailed"": ""0"", ""TxSuccess"": ""65""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""1"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""482895"", ""Time Detached Milli"": ""9105"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""492000""}",1,1,0.0,22.0,22.0,22.0,otns_model_derived_at_ping,model_derived,1.0,-70.232,2,-70.232,2,492.0,1,1,0.0,30.0,30.0,30.0,otns_model_derived_at_ping,model_derived,1.0,-40.956,3,-40.956,3,492.0
12,493.0,750.0,360.0,child,ac01,a2c370b23480d824,ac00,router_a,1,3,7,5,router_a,ac00,a2c370b23480d824,,,,,,,otns_model_derived_at_ping,model_derived,1.0,-71.957,2,,,493.0,False,False,MutualInterference,minimal_end_device,med,enabled,True,packet_probe,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""95"", ""TxFailed"": ""1"", ""TxSuccess"": ""65""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""1"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""483895"", ""Time Detached Milli"": ""9105"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""493000""}",,,,,,,otns_model_derived_at_ping,model_derived,1.0,-71.957,2,,,493.0,,,,,,,otns_model_derived_at_ping,model_derived,1.0,-47.625,3,,,493.0
13,494.0,750.0,360.0,child,ac01,a2c370b23480d824,ac00,router_a,1,3,8,5,router_a,ac00,a2c370b23480d824,,,,,,,otns_model_derived_at_ping,model_derived,1.0,-71.957,2,,,494.0,False,False,MutualInterference,minimal_end_device,med,enabled,True,packet_probe,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""95"", ""TxFailed"": ""1"", ""TxSuccess"": ""65""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""1"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""484895"", ""Time Detached Milli"": ""9105"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""494000""}",,,,,,,otns_model_derived_at_ping,model_derived,1.0,-71.957,2,,,494.0,,,,,,,otns_model_derived_at_ping,model_derived,1.0,-47.625,3,,,494.0
14,495.0,750.0,360.0,child,ac01,a2c370b23480d824,ac00,router_a,1,3,9,5,router_a,ac00,a2c370b23480d824,1,0,100.0,,,,otns_model_derived_at_ping,model_derived,1.0,-71.957,2,,,495.0,False,False,MutualInterference,minimal_end_device,med,enabled,True,packet_probe,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""95"", ""TxFailed"": ""1"", ""TxSuccess"": ""65""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""1"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""485895"", ""Time Detached Milli"": ""9105"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""495000""}",1,0,100.0,,,,otns_model_derived_at_ping,model_derived,1.0,-71.957,2,,,495.0,1,0,100.0,,,,otns_model_derived_at_ping,model_derived,1.0,-47.625,3,,,495.0
15,496.0,750.0,360.0,child,ac01,a2c370b23480d824,ac00,router_a,1,3,10,5,router_a,ac00,a2c370b23480d824,,,,,,,otns_model_derived_at_ping,model_derived,1.0,-71.957,2,,,496.0,False,False,MutualInterference,minimal_end_device,med,enabled,True,packet_probe,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""95"", ""TxFailed"": ""2"", ""TxSuccess"": ""65""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""1"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""486895"", ""Time Detached Milli"": ""9105"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""496000""}",,,,,,,otns_model_derived_at_ping,model_derived,1.0,-71.957,2,,,496.0,,,,,,,otns_model_derived_at_ping,model_derived,1.0,-47.625,3,,,496.0
16,497.0,750.0,360.0,child,ac01,a2c370b23480d824,ac00,router_a,1,3,11,5,router_a,ac00,a2c370b23480d824,,,,,,,otns_model_derived_at_ping,model_derived,1.0,-71.957,2,,,497.0,False,False,MutualInterference,minimal_end_device,med,enabled,True,packet_probe,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""95"", ""TxFailed"": ""2"", ""TxSuccess"": ""65""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""1"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""487895"", ""Time Detached Milli"": ""9105"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""497000""}",,,,,,,otns_model_derived_at_ping,model_derived,1.0,-71.957,2,,,497.0,,,,,,,otns_model_derived_at_ping,model_derived,1.0,-47.625,3,,,497.0
17,498.0,750.0,360.0,child,ac01,a2c370b23480d824,ac00,router_a,1,3,12,5,router_a,ac00,a2c370b23480d824,1,0,100.0,,,,otns_model_derived_at_ping,model_derived,1.0,-71.957,2,,,498.0,False,False,MutualInterference,minimal_end_device,med,enabled,True,packet_probe,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""95"", ""TxFailed"": ""2"", ""TxSuccess"": ""65""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""1"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""488895"", ""Time Detached Milli"": ""9105"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""498000""}",1,0,100.0,,,,otns_model_derived_at_ping,model_derived,1.0,-71.957,2,,,498.0,1,0,100.0,,,,otns_model_derived_at_ping,model_derived,1.0,-47.625,3,,,498.0
18,499.0,750.0,360.0,child,ac01,a2c370b23480d824,ac00,router_a,1,3,13,5,router_a,ac00,a2c370b23480d824,,,,,,,otns_model_derived_at_ping,model_derived,1.0,-71.957,2,,,499.0,False,False,MutualInterference,minimal_end_device,med,enabled,True,packet_probe,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""95"", ""TxFailed"": ""3"", ""TxSuccess"": ""65""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""1"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""489895"", ""Time Detached Milli"": ""9105"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""499000""}",,,,,,,otns_model_derived_at_ping,model_derived,1.0,-71.957,2,,,499.0,,,,,,,otns_model_derived_at_ping,model_derived,1.0,-47.625,3,,,499.0
19,500.0,750.0,360.0,child,ac01,a2c370b23480d824,ac00,router_a,1,3,14,5,router_a,ac00,a2c370b23480d824,,,,,,,otns_model_derived_at_ping,model_derived,1.0,-71.957,2,,,500.0,False,False,MutualInterference,minimal_end_device,med,enabled,True,packet_probe,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""95"", ""TxFailed"": ""3"", ""TxSuccess"": ""65""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""1"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""490895"", ""Time Detached Milli"": ""9105"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""500000""}",,,,,,,otns_model_derived_at_ping,model_derived,1.0,-71.957,2,,,500.0,,,,,,,otns_model_derived_at_ping,model_derived,1.0,-47.625,3,,,500.0
